Page,Edits,Editors,Views
"Pathaan (film)",565,110,6767938
"The Last of Us (TV series)",302,70,6387263
"ChatGPT",296,86,5947457
"Rihanna",37,26,5330257
"Cleopatra",3,3,4668984
"Ant-Man and the Wasp: Quantumania",640,208,4253108
"Deaths in 2023",1989,184,3757695
"Valentine's Day",53,27,3477285
"Pedro Pascal",56,37,3366655
"Raquel Welch",386,149,3129771
"Patrick Mahomes",162,60,2985373
"YouTube",34,24,2804507
"2023 Turkey–Syria earthquake",4504,851,2652883
"Pamela Anderson",67,31,2503053
"List of highest-grossing Indian films",233,31,2416942
"Kiara Advani",62,23,2383820
"Bella Ramsey",43,25,2358913
"The Last of Us",19,10,2338016
"XXX (film series)",0,0,2096470
"Jimmy Carter",285,76,2020168
"Avatar: The Way of Water",171,53,2001230
"Cocaine Bear",356,134,1963352
"Super Bowl LVII",545,156,1910746
"Black Panther: Wakanda Forever",88,33,1901150
"Hogwarts Legacy",499,99,1892233
"XXX: Return of Xander Cage",0,0,1884036
"Travis Kelce",113,61,1875013
"Christian Atsu",339,176,1834180
"Nikki Haley",258,101,1834107
"List of American films of 2023",253,61,1809867
"Sidharth Malhotra",78,24,1794557
"ASAP Rocky",10,8,1792439
"Tommy Fury",104,57,1765963
"Cristiano Ronaldo",55,29,1749391
"Instagram",20,14,1729683
"Murdaugh family",112,66,1699247
"LeBron James",119,43,1682660
"XXXTentacion",19,8,1657516
"Knock at the Cabin",330,129,1645077
"Burt Bacharach",267,113,1630241
"Harry Styles",37,19,1623048
"2022 Russian invasion of Ukraine",0,0,1620905
"Kim Petras",40,28,1603654
"Premier League",87,54,1603354
"Bruce Willis",53,27,1509426
"List of highest-grossing films",98,13,1504358
"Jason Kelce",97,48,1480227
"Mac McClung",74,44,1458931
"Elimination Chamber (2023)",497,138,1456966
"Pakistan Super League",79,45,1446339
"Tom Brady",170,58,1432020
"Annie Wersching",40,23,1418364
"Jalen Hurts",98,52,1415053
"United States",157,34,1392906
"Wikipedia",47,27,1351349
"Richard Belzer",221,90,1336092
"Tommy Lee",9,7,1315439
"Andrew Tate",48,23,1303735
"Super Bowl",62,42,1293100
"Ashton Kutcher",6,5,1289670
"Ansel Adams",2,1,1287375
"List of Super Bowl champions",55,16,1254072
"XXX (2002 film)",0,0,1233292
"Turkey",216,26,1228549
"Facebook",13,9,1209705
"Lionel Messi",89,34,1205290
"Sam Smith",29,19,1201864
"India",135,23,1171667
"List of Super Bowl halftime shows",72,43,1156537
"OpenAI",138,67,1119836
"2023 Ohio train derailment",834,329,1119286
"Kareem Abdul-Jabbar",44,18,1118863
"You (season 4)",99,28,1117448
"Jake Paul",38,19,1111009
"Jessica Watson",42,20,1109822
"Michael Jordan",13,6,1109315
"XXXX",0,0,1070676
"You (TV series)",54,23,1070663
"Jenna Ortega",69,42,1066496
"Manchester United F.C.",39,22,1054833
"Elon Musk",47,16,1034511
"Andy Reid",118,56,1028753
"Elvis Presley",22,16,1011782
"The Whale (2022 film)",166,95,1010513
"P. K. Rosy",140,56,1005943
"XXX: State of the Union",4,2,1003227
"Beyoncé",56,39,984311
"The Banshees of Inisherin",126,67,977539
"Everything Everywhere All at Once",181,76,976716
"Shehzada (2023 film)",171,67,964621
"The White Lotus",48,32,961419
"Brink's-Mat robbery",56,30,960936
"Google",16,11,959333
"Bigg Boss (Hindi season 16)",288,64,956047
"Leonardo DiCaprio",22,8,950960
"Internet",3,3,933130
"65th Annual Grammy Awards",395,108,928848
"1923 (TV series)",182,49,920440
"The Menu (2022 film)",79,47,917626
"Varisu",154,43,909739
"Chadwick Boseman",52,33,909230
"Madonna",16,10,908490
"Cocaine Bear (bear)",97,57,905939
"Natasha Lyonne",19,13,898788
"Microsoft 365",4,4,893598
"Harrison Ford",11,8,885800
"Omegle",2,2,880082
"Email",1,1,877670
"Dwayne Johnson",16,8,873409
"Brendan Fraser",50,34,871681
"Disappearance of Madeleine McCann",11,9,871343
"Jake Paul vs Tommy Fury",181,77,870849
"List of Marvel Cinematic Universe films",29,10,869603
"Atomic Heart (video game)",0,0,857460
"Tom Cruise",3,3,850847
"Babylon (2022 film)",129,57,848176
"Joe Biden",68,28,839411
