Wall time,Step,Value
1688438978.7517521,168,4.856840133666992
1688439186.0203483,475,4.853899955749512
1688439226.8941543,537,4.853409767150879
1688439263.1996207,587,4.853300094604492
1688439856.4003243,1437,4.852069854736328
1688440070.1463103,1738,4.850719928741455
1688440457.0545514,2308,4.804150104522705
1688440512.6479192,2390,4.795269966125488
1688440583.0485857,2487,4.7796101570129395
1688441109.0149765,3247,4.796770095825195
1688441977.99517,4493,4.70074987411499
1688442417.91828,5135,4.625199794769287
1688442954.7269423,5908,4.614689826965332
1688443502.8607101,6712,4.62306022644043
1688443680.330134,6967,4.647059917449951
1688444020.666161,7464,4.708730220794678
1688444252.239297,7799,4.640369892120361
1688445260.8543985,9261,4.540420055389404
1688445405.398482,9469,4.72298002243042
1688446063.552661,10400,4.664569854736328
1688446410.6419659,10906,4.594880104064941
1688446454.249804,10967,4.625319957733154
1688446849.313941,11533,4.5973100662231445
1688447154.2730145,11970,4.610169887542725
1688447793.8716736,12878,4.6090497970581055
1688448804.0743852,14295,4.438549995422363
1688449075.755723,14669,4.470890045166016
1688449151.275862,14780,4.575129985809326
1688450098.8783636,16117,4.512969970703125
1688450634.2326849,16858,4.475419998168945
1688450965.9957483,17318,4.595900058746338
1688451128.894141,17544,4.522709846496582
1688452667.3226204,19641,4.363339900970459
1688452978.0649767,20063,4.489049911499023
1688453334.032362,20540,4.4358601570129395
1688453359.0388496,20579,4.375510215759277
1688453562.347803,20856,4.571979999542236
1688453774.7083588,21145,4.3713698387146
1688453907.0822394,21320,4.249989986419678
1688454645.2655346,22331,4.491919994354248
1688454661.1086214,22359,4.592199802398682
1688455351.6312332,23287,4.481299877166748
1688455407.063197,23362,4.457320213317871
1688455457.5587325,23428,4.546090126037598
1688455640.223875,23671,4.392469882965088
1688455662.6734862,23702,4.397369861602783
1688455996.4263232,24148,4.3860697746276855
1688456121.6876163,24323,4.312759876251221
1688456423.7719936,24728,4.449079990386963
1688456821.839911,25254,4.295810222625732
1688459618.5451424,28971,4.247610092163086
1688459639.6680572,28997,4.456960201263428
1688460274.0130801,29830,4.465970039367676
1688460876.0262594,30613,4.322740077972412
1688460943.5745003,30707,4.448339939117432
1688461521.7562113,31444,4.430359840393066
1688461902.7205567,31937,4.395420074462891
1688462297.1717217,32436,4.166820049285889
1688462877.5000446,33182,4.301929950714111
1688463320.137517,33750,4.402850151062012
1688463348.8871872,33786,4.241980075836182
1688463391.0880058,33840,4.313570022583008
1688463421.9631257,33877,4.3974199295043945
1688463804.393146,34363,4.276450157165527
1688463941.289508,34526,4.447150230407715
1688463998.6476047,34600,4.387310028076172
1688464686.7158391,35484,4.267169952392578
1688465059.7967453,35954,4.239260196685791
1688465129.2289326,36038,4.292029857635498
1688465595.7446756,36630,4.233119964599609
1688465620.4715989,36660,4.291079998016357
1688465770.9365227,36851,4.41703987121582
1688466281.865013,37490,4.416560173034668
1688466496.891222,37765,4.328949928283691
1688466585.9724572,37877,4.185619831085205
1688467267.3974442,38721,4.345180034637451
1688467366.888676,38841,4.3236799240112305
1688467731.5136163,39297,4.148690223693848
1688468063.5872397,39703,4.199530124664307
1688468952.0359309,40794,4.2474799156188965
1688469346.6376154,41272,4.413080215454102
1688470047.356406,42135,4.178190231323242
1688470327.485719,42469,4.296969890594482
1688471281.6354804,43640,4.298230171203613
1688471342.794212,43712,4.399990081787109
1688471577.4597359,43994,4.462170124053955
1688471746.037064,44201,4.4894700050354
1688471787.0428677,44252,4.194890022277832
1688472255.6336174,44817,4.207499980926514
1688472370.337465,44965,4.386720180511475
1688472706.6418197,45373,4.3509697914123535
1688473517.1616411,46335,4.2359700202941895
1688473580.7505333,46414,4.092440128326416
1688474689.9119651,47745,4.162280082702637
1688474881.2937894,47971,4.364230155944824
1688475057.654034,48182,4.336030006408691
1688475976.1231058,49273,4.353030204772949
1688476635.4021313,50057,4.077099800109863
1688477286.8440123,50820,4.142650127410889
1688477556.3041494,51135,4.370610237121582
1688477637.9966445,51228,4.260950088500977
1688478122.0822613,51799,4.30787992477417
1688479080.418238,52907,4.209310054779053
1688479240.4637868,53093,4.166500091552734
1688479571.3227131,53469,4.305520057678223
1688479924.0324035,53863,4.197289943695068
1688482096.3510406,56338,4.070630073547363
1688482262.755748,56522,4.213479995727539
1688482530.937119,56821,4.30364990234375
1688484240.8999584,58747,4.216529846191406
1688485529.0729868,60180,4.34250020980835
1688485533.627859,60186,4.144120216369629
1688485799.5705779,60476,4.112850189208984
1688487311.3882306,62140,4.207459926605225
1688488713.1102645,63672,4.2116498947143555
1688489504.4231577,64522,4.078619956970215
1688490552.7305412,65644,4.126530170440674
1688491617.7993953,66788,4.109910011291504
1688491840.0926287,67022,4.184609889984131
1688492229.9282742,67441,4.178840160369873
1688493879.6605265,69186,4.217209815979004
1688494393.032889,69720,4.155849933624268
